RegionID,RegionName,RegionType,StateName,SizeRank,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11
1,"United States",Country,,,450000,455000,460000,465000,470000,475000,480000,485000,490000,495000,500000,505000,510000
2,"New York, NY",MSA,NY,1,750000,755000,760000,765000,770000,775000,780000,785000,790000,795000,800000,805000,810000
3,"Los Angeles, CA",MSA,CA,2,850000,855000,860000,865000,870000,875000,880000,885000,890000,895000,900000,905000,910000
4,"Chicago, IL",MSA,IL,3,350000,355000,360000,365000,370000,375000,380000,385000,390000,395000,400000,405000,410000
5,"Miami, FL",MSA,FL,4,450000,455000,460000,465000,470000,475000,480000,485000,490000,495000,500000,505000,510000
6,"Dallas, TX",MSA,TX,5,400000,405000,410000,415000,420000,425000,430000,435000,440000,445000,450000,455000,460000
7,"Houston, TX",MSA,TX,6,300000,305000,310000,315000,320000,325000,330000,335000,340000,345000,350000,355000,360000
8,"Washington, DC",MSA,DC,7,550000,555000,560000,565000,570000,575000,580000,585000,590000,595000,600000,605000,610000
9,"Philadelphia, PA",MSA,PA,8,350000,355000,360000,365000,370000,375000,380000,385000,390000,395000,400000,405000,410000
10,"Atlanta, GA",MSA,GA,9,400000,405000,410000,415000,420000,425000,430000,435000,440000,445000,450000,455000,460000
11,"Phoenix, AZ",MSA,AZ,10,450000,455000,460000,465000,470000,475000,480000,485000,490000,495000,500000,505000,510000
12,"San Francisco, CA",MSA,CA,11,1200000,1205000,1210000,1215000,1220000,1225000,1230000,1235000,1240000,1245000,1250000,1255000,1260000
13,"Boston, MA",MSA,MA,12,650000,655000,660000,665000,670000,675000,680000,685000,690000,695000,700000,705000,710000
14,"Detroit, MI",MSA,MI,13,250000,255000,260000,265000,270000,275000,280000,285000,290000,295000,300000,305000,310000
15,"Seattle, WA",MSA,WA,14,750000,755000,760000,765000,770000,775000,780000,785000,790000,795000,800000,805000,810000 